Job_Title,Experience,Work_Mode,Year,Salary,Company_Size
Data Engineer,Mid-level,Remote,2024,148100,Medium
Data Engineer,Mid-level,Remote,2024,98700,Medium
Data Scientist,Senior-level,Remote,2024,140032,Medium
Data Scientist,Senior-level,Remote,2024,100022,Medium
Data Engineer,Executive-level,Remote,2024,219650,Medium
Data Engineer,Executive-level,Remote,2024,136000,Medium
Data Scientist,Mid-level,Remote,2024,148100,Medium
Data Scientist,Mid-level,Remote,2024,98700,Medium
Data Engineer,Mid-level,On-site,2024,145500,Medium
Data Engineer,Mid-level,On-site,2024,93000,Medium
Data Scientist,Mid-level,On-site,2024,85000,Medium
Data Scientist,Mid-level,On-site,2024,75000,Medium
Data Scientist,Mid-level,On-site,2024,105000,Medium
Data Scientist,Mid-level,On-site,2024,70000,Medium
Data Engineer,Senior-level,On-site,2024,204662,Medium
Data Engineer,Senior-level,On-site,2024,184662,Medium
Data Scientist,Mid-level,On-site,2024,179000,Medium
Data Scientist,Mid-level,On-site,2024,112000,Medium
Data Analyst,Entry-level,On-site,2024,115000,Medium
Data Analyst,Entry-level,On-site,2024,85000,Medium
ML Engineer,Senior-level,On-site,2024,267900,Medium
ML Engineer,Senior-level,On-site,2024,234700,Medium
Data Analyst,Entry-level,On-site,2024,195500,Medium
Data Analyst,Entry-level,On-site,2024,68000,Medium
Data Scientist,Senior-level,On-site,2024,242000,Medium
Data Scientist,Senior-level,On-site,2024,106200,Medium
ML Engineer,Senior-level,On-site,2024,215000,Medium
ML Engineer,Senior-level,On-site,2024,146900,Medium
Data Scientist,Mid-level,Remote,2024,246000,Medium
Data Scientist,Mid-level,Remote,2024,190000,Medium
Data Engineer,Mid-level,Remote,2024,165000,Medium
Data Engineer,Mid-level,Remote,2024,129600,Medium
ML Engineer,Senior-level,Remote,2024,322000,Medium
ML Engineer,Senior-level,Remote,2024,230000,Medium
Data Analyst,Senior-level,On-site,2024,175520,Medium
Data Analyst,Senior-level,On-site,2024,103786,Medium
Data Scientist,Senior-level,On-site,2024,195000,Medium
Data Scientist,Senior-level,On-site,2024,146900,Medium
Data Scientist,Mid-level,Remote,2024,170400,Medium
Data Scientist,Mid-level,Remote,2024,106500,Medium
Data Analyst,Mid-level,On-site,2024,134500,Medium
Data Analyst,Mid-level,On-site,2024,100000,Medium
Data Engineer,Mid-level,On-site,2024,159000,Medium
Data Engineer,Mid-level,On-site,2024,111300,Medium
ML Engineer,Mid-level,On-site,2024,173400,Medium
ML Engineer,Mid-level,On-site,2024,99100,Medium
Data Scientist,Senior-level,On-site,2024,218000,Medium
Data Scientist,Senior-level,On-site,2024,145000,Medium
Data Scientist,Mid-level,On-site,2024,212800,Large
Data Scientist,Mid-level,On-site,2024,111600,Large
ML Engineer,Senior-level,Remote,2024,166700,Medium
ML Engineer,Senior-level,Remote,2024,150000,Medium
ML Engineer,Senior-level,On-site,2024,220000,Medium
ML Engineer,Senior-level,On-site,2024,170000,Medium
ML Engineer,Senior-level,Remote,2024,418000,Medium
ML Engineer,Senior-level,Remote,2024,141000,Medium
Data Scientist,Executive-level,On-site,2024,246100,Medium
Data Scientist,Executive-level,On-site,2024,181900,Medium
ML Engineer,Entry-level,On-site,2024,91000,Medium
ML Engineer,Entry-level,On-site,2024,70000,Medium
Data Engineer,Senior-level,Remote,2024,205000,Medium
Data Engineer,Senior-level,Remote,2024,165000,Medium
Data Scientist,Mid-level,On-site,2024,250000,Medium
Data Scientist,Mid-level,On-site,2024,131600,Medium
Data Scientist,Senior-level,On-site,2024,240000,Medium
Data Scientist,Senior-level,On-site,2024,187000,Medium
Data Engineer,Mid-level,On-site,2024,134600,Medium
Data Engineer,Mid-level,On-site,2024,103000,Medium
ML Engineer,Senior-level,On-site,2024,324000,Medium
ML Engineer,Senior-level,On-site,2024,159000,Medium
Data Engineer,Senior-level,On-site,2024,385000,Medium
Data Engineer,Senior-level,On-site,2024,245000,Medium
Data Scientist,Mid-level,On-site,2024,385000,Medium
Data Scientist,Mid-level,On-site,2024,245000,Medium
Data Engineer,Mid-level,On-site,2024,214300,Medium
Data Engineer,Mid-level,On-site,2024,108500,Medium
ML Engineer,Senior-level,On-site,2024,245700,Medium
ML Engineer,Senior-level,On-site,2024,132300,Medium
ML Engineer,Senior-level,Remote,2024,263500,Medium
ML Engineer,Senior-level,Remote,2024,189360,Medium
Data Scientist,Mid-level,On-site,2024,198800,Medium
Data Scientist,Mid-level,On-site,2024,90700,Medium
Data Engineer,Senior-level,On-site,2024,145000,Medium
Data Engineer,Senior-level,On-site,2024,115000,Medium
Data Engineer,Senior-level,On-site,2024,269100,Medium
Data Engineer,Senior-level,On-site,2024,131300,Medium
Data Analyst,Entry-level,On-site,2024,99900,Medium
Data Analyst,Entry-level,On-site,2024,83000,Medium
Data Analyst,Senior-level,Remote,2024,169000,Medium
Data Analyst,Senior-level,Remote,2024,120000,Medium
Data Engineer,Mid-level,Remote,2024,125000,Medium
Data Engineer,Mid-level,Remote,2024,115000,Medium
ML Engineer,Senior-level,On-site,2024,331640,Medium
ML Engineer,Senior-level,On-site,2024,283780,Medium
Data Analyst,Senior-level,On-site,2024,146500,Medium
Data Analyst,Senior-level,On-site,2024,96000,Medium
Data Scientist,Mid-level,Remote,2024,140400,Medium
Data Scientist,Mid-level,Remote,2024,90000,Medium
Data Engineer,Senior-level,On-site,2024,260000,Medium
Data Engineer,Senior-level,On-site,2024,225000,Medium
Data Engineer,Senior-level,On-site,2024,165000,Medium
Data Engineer,Senior-level,On-site,2024,137000,Medium
Data Scientist,Senior-level,On-site,2024,296100,Medium
Data Scientist,Senior-level,On-site,2024,144500,Medium
Data Scientist,Senior-level,Remote,2024,206000,Medium
Data Scientist,Senior-level,Remote,2024,140250,Medium
Data Analyst,Senior-level,On-site,2024,116800,Medium
Data Analyst,Senior-level,On-site,2024,87600,Medium
Data Scientist,Senior-level,On-site,2024,170000,Medium
Data Scientist,Senior-level,On-site,2024,125000,Medium
ML Engineer,Senior-level,On-site,2024,357900,Medium
ML Engineer,Senior-level,On-site,2024,189400,Medium
Data Scientist,Senior-level,On-site,2024,212000,Medium
Data Scientist,Senior-level,On-site,2024,93400,Medium
Data Engineer,Senior-level,On-site,2024,128656,Medium
Data Engineer,Senior-level,On-site,2024,103330,Medium
ML Engineer,Senior-level,On-site,2024,250900,Medium
ML Engineer,Senior-level,On-site,2024,135200,Medium
Data Analyst,Senior-level,On-site,2024,109000,Medium
Data Analyst,Senior-level,On-site,2024,62300,Medium
Data Analyst,Mid-level,On-site,2024,90500,Medium
Data Analyst,Mid-level,On-site,2024,42400,Medium
ML Engineer,Senior-level,On-site,2024,257000,Medium
ML Engineer,Senior-level,On-site,2024,129000,Medium
Data Analyst,Entry-level,Remote,2024,120000,Medium
Data Analyst,Entry-level,Remote,2024,100000,Medium
Data Analyst,Entry-level,On-site,2024,80000,Medium
Data Analyst,Entry-level,On-site,2024,45700,Medium
Data Analyst,Senior-level,On-site,2024,135000,Medium
Data Analyst,Senior-level,On-site,2024,120000,Medium
Data Engineer,Senior-level,On-site,2024,175000,Medium
Data Engineer,Senior-level,On-site,2024,150000,Medium
Data Analyst,Senior-level,Remote,2024,134200,Medium
Data Analyst,Senior-level,Remote,2024,117000,Medium
Data Analyst,Entry-level,Remote,2024,75065,Medium
Data Analyst,Entry-level,Remote,2024,41419,Medium
Data Engineer,Mid-level,On-site,2024,107800,Medium
Data Engineer,Mid-level,On-site,2024,61600,Medium
ML Engineer,Senior-level,On-site,2024,324000,Medium
ML Engineer,Senior-level,On-site,2024,159000,Medium
Data Analyst,Entry-level,Remote,2024,80000,Medium
Data Analyst,Entry-level,Remote,2024,75000,Medium
Data Engineer,Senior-level,On-site,2024,247300,Medium
Data Engineer,Senior-level,On-site,2024,139700,Medium
Data Analyst,Entry-level,On-site,2024,93000,Medium
Data Analyst,Entry-level,On-site,2024,65750,Medium
Data Engineer,Mid-level,On-site,2024,130000,Medium
Data Engineer,Mid-level,On-site,2024,90800,Medium
Data Engineer,Mid-level,On-site,2024,166000,Medium
Data Engineer,Mid-level,On-site,2024,73100,Medium
Data Scientist,Mid-level,On-site,2024,166000,Medium
Data Scientist,Mid-level,On-site,2024,73100,Medium
ML Engineer,Senior-level,On-site,2024,186754,Medium
ML Engineer,Senior-level,On-site,2024,101000,Medium
Data Scientist,Senior-level,On-site,2024,80000,Medium
Data Scientist,Senior-level,On-site,2024,67500,Medium
Data Engineer,Senior-level,On-site,2024,138000,Medium
Data Engineer,Senior-level,On-site,2024,86000,Medium
Data Engineer,Mid-level,On-site,2024,106050,Medium
Data Engineer,Mid-level,On-site,2024,80420,Medium
Data Analyst,Entry-level,On-site,2024,179000,Medium
Data Analyst,Entry-level,On-site,2024,112000,Medium
Data Engineer,Senior-level,On-site,2024,160000,Medium
Data Engineer,Senior-level,On-site,2024,94100,Medium
Data Engineer,Executive-level,On-site,2024,225000,Medium
Data Engineer,Executive-level,On-site,2024,215000,Medium
ML Engineer,Senior-level,Remote,2024,303400,Medium
ML Engineer,Senior-level,Remote,2024,216700,Medium
ML Engineer,Mid-level,On-site,2024,166000,Medium
ML Engineer,Mid-level,On-site,2024,73100,Medium
Data Engineer,Mid-level,On-site,2024,115000,Medium
Data Engineer,Mid-level,On-site,2024,80000,Medium
ML Engineer,Senior-level,Remote,2024,195000,Medium
ML Engineer,Senior-level,Remote,2024,170000,Medium
Data Engineer,Senior-level,Remote,2024,152375,Medium
Data Engineer,Senior-level,Remote,2024,94000,Medium
Data Scientist,Mid-level,On-site,2024,218000,Medium
Data Scientist,Mid-level,On-site,2024,152600,Medium
Data Scientist,Senior-level,On-site,2024,136197,Medium
Data Scientist,Senior-level,On-site,2024,100000,Medium
Data Engineer,Executive-level,On-site,2024,179000,Medium
Data Engineer,Executive-level,On-site,2024,112000,Medium
Data Scientist,Mid-level,On-site,2024,175100,Medium
Data Scientist,Mid-level,On-site,2024,82915,Medium
Data Scientist,Mid-level,Remote,2024,168000,Medium
Data Scientist,Mid-level,Remote,2024,120000,Medium
ML Engineer,Senior-level,On-site,2024,210000,Medium
ML Engineer,Senior-level,On-site,2024,160000,Medium
Data Engineer,Senior-level,On-site,2024,116000,Medium
Data Engineer,Senior-level,On-site,2024,90000,Medium
Data Scientist,Senior-level,Remote,2024,190600,Medium
Data Scientist,Senior-level,Remote,2024,94400,Medium
ML Engineer,Senior-level,On-site,2024,258100,Medium
ML Engineer,Senior-level,On-site,2024,151900,Medium
Data Analyst,Senior-level,On-site,2024,171000,Medium
